id,exam_year_roc,exam_session,exam_code,paper_code,question_no,old,new,stem_preview
MOEX-104030-1101-Q018,104,第一次,104030,1101,18,生理學/解剖學,生理學,副交感神經興奮時，最可能造成下列何者收縮？
MOEX-104030-1101-Q020,104,第一次,104030,1101,20,解剖學/生理學,生理學,下列那一構造不參與精漿（seminal plasma）的製成？
MOEX-106100-1301-Q048,106,第二次,106100,1301,48,解剖學,生理學,下列對referred pain的敘述，何者最恰當？
MOEX-106100-1301-Q050,106,第二次,106100,1301,50,解剖學,生理學,下列何者與大腦的運動皮層一起計畫和設計動作的進行程序（planning and programming movements）？
MOEX-106100-1301-Q051,106,第二次,106100,1301,51,解剖學,生理學,有關運動控制（motor control），下列敘述何者正確？
MOEX-106100-1301-Q052,106,第二次,106100,1301,52,解剖學,生理學,聽覺受器位於下列何處？
MOEX-106100-1301-Q053,106,第二次,106100,1301,53,神經解剖,生理學,下列何者與味蕾感覺訊號的傳遞，較不相關？
MOEX-106100-1301-Q057,106,第二次,106100,1301,57,解剖學,生理學,主動瓣脈逆流（aortic regurgitation）的病人，可藉由下列何種代償作用減緩循環缺失（circulatory insufficiency）的嚴重性？
MOEX-106100-1301-Q062,106,第二次,106100,1301,62,解剖學,生理學,貧血（anemia）患者，其血紅素（hemoglobin）濃度僅達正常值之50%，此外並無其它心肺功能異常。此人 進行正常換氣（ventilation）時，與健康的人相比較，下列那些參數顯著偏低？①體動脈血中氧分壓 ②體動脈血中氧合血紅素飽
MOEX-106100-1301-Q063,106,第二次,106100,1301,63,解剖學,生理學,下列何者對於抑制胃的活動力（motility）與排空（emptying）作用最強？
MOEX-106100-1301-Q064,106,第二次,106100,1301,64,解剖學,生理學,對血清素（serotonin）的敘述，下列何者正確？
MOEX-106100-1301-Q070,106,第二次,106100,1301,70,解剖學,生理學,下列那一個腺體所分泌之激素多為脂溶性？
MOEX-106100-1301-Q073,106,第二次,106100,1301,73,解剖學,生理學,在人類卵巢濾泡（follicle）成熟過程中，於何階段出現cumulus oophorus？
MOEX-106100-1301-Q091,106,第二次,106100,1301,91,解剖學,生物化學,在肝臟細胞膜（plasma membrane）中，下列何種脂質含量最低？
MOEX-106100-1301-Q099,106,第二次,106100,1301,99,解剖學,生物化學,心房利鈉肽（Atrial natriuretic factor: ANF）是調節體液平衡的配體（ligand），其受體為下列何種類型？
MOEX-107020-5301-Q047,107,第一次,107020,5301,47,解剖學,生理學,與位在視網膜顳側（temporal portion of the retina）光感受細胞相聯繫的神經節細胞（ganglion cells），通 常投射至視丘那一核區？
MOEX-107020-5301-Q049,107,第一次,107020,5301,49,解剖學,生理學,因腦瘤壓迫造成無法看到左眼內側視野及右眼外側視野的影像。此患者被腦瘤所壓迫的位置最可能為下列何 者？
MOEX-107020-5301-Q050,107,第一次,107020,5301,50,解剖學,生理學,下視丘（hypothalamus）的那一個核區為人體生物時鐘（biological clock）之主要節律點（pacemaker）？
MOEX-107020-5301-Q051,107,第一次,107020,5301,51,解剖學,生理學,下列那一個大腦運動區位於體感覺區的後方，並且負責眼手的協調？
MOEX-107020-5301-Q052,107,第一次,107020,5301,52,解剖學,生理學,下列何者是負責掌控手指肌肉執行精細動作的最主要運動路徑？
MOEX-107020-5301-Q053,107,第一次,107020,5301,53,神經解剖,生理學,下列那一個路徑是以glutamate為傳遞物質的興奮性路徑？
MOEX-107020-5301-Q054,107,第一次,107020,5301,54,解剖學,生理學,下列何種鈣離子通道（calcium channel）是所有肌細胞皆具有的，並負責釋出鈣離子啟動收縮？
MOEX-107020-5301-Q057,107,第一次,107020,5301,57,解剖學,生理學,林小姐因出現頭昏、噁心、嘔吐被送至急診室，當時呼吸頻率為13次／分，體循環動脈血液分析數值分別 為：PaO ＝98 mmHg，PaCO ＝38 mmHg，SaO ＝70%，Hb＝14 g/100 mL。根據上述的結果，推測可 2 2 2 能
MOEX-107020-5301-Q058,107,第一次,107020,5301,58,解剖學,生理學,若頸動脈竇（carotid sinus）及主動脈弓（aortic arch）上的感壓受器（baroreceptor）放電頻率（firing rate）增加，則下列何者正確？
MOEX-107020-5301-Q059,107,第一次,107020,5301,59,解剖學,生理學,從事慢跑等耐力運動時，心輸出量（cardiac output）可能增加 4～7 倍。此時身體可利用下列那些作用來增 加心輸出量？①興奮動脈感壓受器（arterial baroreceptors），使其放電頻率增加 ②增加吸氣的深度及頻 率 
MOEX-107020-5301-Q061,107,第一次,107020,5301,61,解剖學,生理學,用力呼氣（forced expiration）時，最不易發生下列何種現象？
MOEX-107020-5301-Q063,107,第一次,107020,5301,63,解剖學,生理學,人類的嘔吐中樞（vomiting center）位於何處？
MOEX-107020-5301-Q065,107,第一次,107020,5301,65,解剖學,生理學,若泌尿道阻塞而導致鮑氏囊淨水壓（hydrostatic pressure of the Bowman's capsule）增高時，腎絲球過濾率 （glomerular filtration rate）最可能因此而產生下列何種改變？
MOEX-107020-5301-Q069,107,第一次,107020,5301,69,解剖學,生理學,有關壓力（stress）造成身體主要反應之敘述，下列何者正確？
MOEX-107020-5301-Q091,107,第一次,107020,5301,91,解剖學,生物化學,心血管疾病的病人使用aspirin預防血栓發生，減少中風及心肌梗塞，下列敘述何者錯誤？
MOEX-107100-1301-Q048,107,第二次,107100,1301,48,解剖學,生理學,當光線進入視網膜時，最先經過下列何種細胞？
MOEX-107100-1301-Q049,107,第二次,107100,1301,49,解剖學,生理學,在昏暗的環境下，視網膜桿狀細胞（rod cell）外部區段（outer segment）產生的鈉離子內流（influx）電流 主要是因為下列那一物質的作用？
MOEX-107100-1301-Q050,107,第二次,107100,1301,50,解剖學,生理學,當考生正專注於國家考試試題時，額葉測得的腦波最可能是下列何者？
MOEX-107100-1301-Q051,107,第二次,107100,1301,51,解剖學,生理學,由右耳傳入中樞神經系統的auditory input，將傳至何處？
MOEX-107100-1301-Q053,107,第二次,107100,1301,53,解剖學,生理學,有關右眼之外側視野訊息之敘述，何者正確？
MOEX-107100-1301-Q057,107,第二次,107100,1301,57,解剖學,生理學,若血液黏滯係數（blood viscosity）增加時，最可能直接引起下列那一改變？
MOEX-107100-1301-Q060,107,第二次,107100,1301,60,解剖學,生理學,下列有關肺部發生纖維化（fibrosis）後肺功能變化之敘述，何者錯誤？
MOEX-107100-1301-Q063,107,第二次,107100,1301,63,解剖學,生理學,下列何者不屬於消化道的內在神經系統（intrinsic nervous system）？
MOEX-107100-1301-Q064,107,第二次,107100,1301,64,解剖學,生理學,下列那種膽汁成分之相對比例，最易導致膽結石的產生？
MOEX-107100-1301-Q069,107,第二次,107100,1301,69,解剖學,生理學,人體內，vitamin D 轉為25-hydroxycholecalciferol主要是在下列何種器官中進行？ 3
MOEX-108030-1301-Q047,108,第一次,108030,1301,47,解剖學,生理學,下列①⾄④項中那些物質運輸⽅向是由⾼濃度到低濃度？ ①鈣離⼦經由幫浦（Ca2+ ATPase） 回收⾄肌漿網（sarcoplasmic reticulum） ②鈉離⼦經由鈉-葡萄糖共同轉運蛋⽩（sodium-glucose cotransp
MOEX-108030-1301-Q050,108,第一次,108030,1301,50,解剖學,生理學,下列有關視神經盤（optic disc）的敘述，何者錯誤？
MOEX-108030-1301-Q054,108,第一次,108030,1301,54,解剖學,生理學,正常情況下，下列何種⾎漿蛋⽩主要由肝臟⽣成？
MOEX-108030-1301-Q055,108,第一次,108030,1301,55,解剖學,生理學,⼼臟舒張期時的⼼雜⾳（murmur）可由下列何者引起？
MOEX-108030-1301-Q061,108,第一次,108030,1301,61,解剖學,生理學,下列何者氧分壓 最⾼？
MOEX-108030-1301-Q066,108,第一次,108030,1301,66,解剖學,生理學,下列何者最不常作為腎⼩管之管腔內氫離⼦的酸鹼緩衝物質？
MOEX-108030-1301-Q067,108,第一次,108030,1301,67,解剖學,生理學,下列有關腎⼩管葡萄糖再吸收的描述，何者正確？
MOEX-108100-1301-Q049,108,第二次,108100,1301,49,解剖學,生理學,下列何者不參與瞳孔對光的反射作用？
MOEX-108100-1301-Q050,108,第二次,108100,1301,50,解剖學,生理學,下列cranial nerves中，何者只含sensory fibers？
MOEX-108100-1301-Q051,108,第二次,108100,1301,51,解剖學,生理學,經由多次訓練與學習，投籃可以百發百中，與下列何腦區最為相關？
MOEX-108100-1301-Q052,108,第二次,108100,1301,52,解剖學,生理學,下列何處受損會導致病患出現動態顫抖（intention tremor）、動幅障礙（dysmetria）和姿勢不穩（unstable posture）等運動失調症狀？
MOEX-108100-1301-Q053,108,第二次,108100,1301,53,解剖學,生理學,下運動神經元（lower motor neurons）的損傷會導致下列那一種疾病？
MOEX-108100-1301-Q057,108,第二次,108100,1301,57,解剖學,生理學,當人體突然大量失血，最不可能發生下列何種狀況？
MOEX-108100-1301-Q060,108,第二次,108100,1301,60,解剖學,生理學,氣體交換（gas exchange）可發生在下列那些位置？①支氣管（bronchi） ②肺泡（alveoli） ③末端細支 氣管（terminal bronchioles） ④呼吸性細支氣管（respiratory bronchioles）
MOEX-108100-1301-Q062,108,第二次,108100,1301,62,解剖學,生理學,張先生到醫院進行各項肺容積之測量，測量結果顯示總肺容量（total lung capacity）為5000毫升，肺餘容積 （residual volume）為300毫升，兩者之間的差值稱之為何？
MOEX-108100-1301-Q064,108,第二次,108100,1301,64,解剖學,生理學,胰蛋白酶（trypsin）不參與下列那種酵素的活化？
MOEX-108100-1301-Q071,108,第二次,108100,1301,71,解剖學,生理學,催產素（oxytocin）的主要作用為何？
MOEX-109100-1301-Q048,109,第二次,109100,1301,48,解剖學,生理學,下列有關大腦皮質對語言功能調控的敘述，何者最恰當？
MOEX-109100-1301-Q051,109,第二次,109100,1301,51,解剖學,生理學,梅尼爾氏症候群出現眩暈感（vertigo）的症狀，最可能是因為下列何處受到異常刺激？
MOEX-109100-1301-Q053,109,第二次,109100,1301,53,解剖學,生理學,在升降梯加速與減速時，負責偵測身體之垂直位移，並引起適當反射以保持平衡之主要結構為何？
MOEX-109100-1301-Q055,109,第二次,109100,1301,55,解剖學,生理學,下列那一種疾病起因於缺少菸鹼酸膽鹼型受器（nicotinic cholinergic receptor），並可以用乙醯膽鹼分解酶抑 制劑（acetylcholinesterase inhibitor）加以治療？
MOEX-109100-1301-Q058,109,第二次,109100,1301,58,解剖學,生理學,下列那一項因素最可能造成右心房壓升高？
MOEX-109100-1301-Q061,109,第二次,109100,1301,61,解剖學,生理學,居住於平地的居民，登上3000公尺的高山並待了七天，下列何種生理變化最不可能發生？
MOEX-109100-1301-Q065,109,第二次,109100,1301,65,解剖學,生理學,正常情況下，下列那一段腎小管對水分的通透性（permeability）最大？
MOEX-109100-1301-Q067,109,第二次,109100,1301,67,解剖學,生理學,將雄鼠之腦下垂體前葉（anterior pituitary）移植到另一隻雄鼠之腎臟包膜（renal capsule）內，數週後移植的 腦下垂體前葉生長情況良好，則接受移植之雄鼠其血中激素與沒接受移植之雄性對照鼠的比較，其變化之情 形最接近下
MOEX-109100-1301-Q070,109,第二次,109100,1301,70,解剖學,生理學,下列何者與男性生殖器官的形成最不相關？
MOEX-109100-1301-Q072,109,第二次,109100,1301,72,解剖學,生理學,一位21歲的男性因視力障礙及頭痛就醫，醫師除了發現病患有腦壓增高的現象外，也有視野雙側顳側 （bitemporal）偏盲現象。經腦部電腦斷層掃描後，最可能的診斷為下列何者？
MOEX-109100-1301-Q090,109,第二次,109100,1301,90,解剖學,生物化學,下列何者並非膽固醇（cholesterol）生合成之前驅物？
MOEX-110020-1301-Q049,110,第一次,110020,1301,49,解剖學,生理學,交感神經興奮時，眼睛會產生下列何種反應？
MOEX-110020-1301-Q050,110,第一次,110020,1301,50,解剖學,生理學,體溫調節中樞位於何處？
MOEX-110020-1301-Q052,110,第一次,110020,1301,52,解剖學,生理學,訓練孩童捏陶土和剪紙等手部精細動作，最主要目的是為強化下列那一條神經路徑？
MOEX-110020-1301-Q053,110,第一次,110020,1301,53,解剖學,生理學,活化下列何種傳出神經元（efferent neuron）可誘發muscle spindle收縮？
MOEX-110020-1301-Q060,110,第一次,110020,1301,60,解剖學,生理學,若完全切除動物的感壓接受器（baroreceptor）神經路徑，下列何者最符合切除後短期內平均動脈壓的變化？
MOEX-110020-1301-Q062,110,第一次,110020,1301,62,解剖學,生理學,有關呼吸時的作功（work of breathing），下列敘述何者正確？
MOEX-110020-1301-Q064,110,第一次,110020,1301,64,解剖學,生理學,肝臟產生的膽酸主要是透過什麼作用幫助脂肪的消化吸收？
MOEX-110020-1301-Q065,110,第一次,110020,1301,65,解剖學,生理學,下列關於膽囊收縮素（cholecystokinin）之敘述，何者最恰當？
MOEX-110101-1301-Q048,110,第二次,110101,1301,48,神經解剖,生理學,一個完全沒有視野缺失，但無法說出所見物體形狀的個案，最有可能於下列何處有神經細胞損傷？
MOEX-110101-1301-Q050,110,第二次,110101,1301,50,解剖學,生理學,有關丘腦神經核和具特定功能大腦皮質區的直接或單一突觸（direct or monosynaptic）聯絡配對，下列何項錯 誤？
MOEX-110101-1301-Q052,110,第二次,110101,1301,52,解剖學,生理學,雖聽不懂醫囑和指示，當一位術後產生劇烈疼痛感的病人發現按壓一個白色的鈕能使醫護人員事先準備的 fentanyl溶液自動直接注入自己的靜脈，並產生某種感覺後，術後病人就開始快速而持續的按壓那一顆白色的 鈕。病人並不知道在術後第二週後，fent
MOEX-110101-1301-Q057,110,第二次,110101,1301,57,解剖學,生理學,若以一條繩線緊綁某根手指頭根部1～2分鐘後，移除該繩線後會發現該手指因短暫血流增加而變紅，這現象 最主要是下列何種局部控制機制所致？
MOEX-110101-1301-Q058,110,第二次,110101,1301,58,解剖學,生理學,林小明跌倒受傷引起失血，但平均動脈壓卻無明顯改變。這是因為此時體內為了維持循環系統正常運作，啟 動了一些恆定（homeostasis）機制。這些機制最不可能包括下列何項？
MOEX-110101-1301-Q062,110,第二次,110101,1301,62,解剖學,生理學,正常生理狀況下，下列何種器官所分泌的脂肪酵素（lipase）最少？
MOEX-110101-1301-Q072,110,第二次,110101,1301,72,解剖學,生理學,黃體生成素受器（LH receptor）缺失的男性，其精子生成（spermatogenesis）能力低，此顯示下列何者具有參 與調節精子生成的重要性？
MOEX-110101-1301-Q073,110,第二次,110101,1301,73,解剖學,生理學,女性因幾乎無月經週期而求診，經檢查發現其卵巢幾乎沒有空腔濾泡（antral follicles），血液雄性素 （androgen）含量正常而雌性素（estrogen）低落；此最可能是因為缺乏下列何者所致？
MOEX-110101-1301-Q091,110,第二次,110101,1301,91,解剖學,生物化學,以抑制肺部小氣道收縮為治療氣喘的策略時，下列何者最適合作為發展抑制氣喘藥物的標的？
MOEX-111020-1301-Q049,111,第一次,111020,1301,49,解剖學,生理學,下列何者是參與引發睪丸下降至陰囊（testis descent）的重要因子，而此與精子生成能力密切相關？
MOEX-111020-1301-Q050,111,第一次,111020,1301,50,解剖學,生理學,下列對於負責傳遞視覺刺激的細胞，其接受域（receptive field）的敘述，何者最不適當？
MOEX-111020-1301-Q051,111,第一次,111020,1301,51,解剖學,生理學,下列神經元，何項最不可能是主司意識喚起（arousal）功能的ascending reticular formation system之一部分？
MOEX-111020-1301-Q052,111,第一次,111020,1301,52,解剖學,生理學,個案因長期酗酒而出現有突然想不起來本來計畫好要做的事情、想不起來一個名字熟識的人其臉孔的特徵、 想用過去學過的詞彙來進行溝通，卻怎麼也想不起來那些詞彙要怎麼說等症狀的Korsakoff syndrome，但該個 案長久以來所建立的聽覺相關記
MOEX-111020-1301-Q056,111,第一次,111020,1301,56,神經解剖,生理學,下列何者為身體在直線加速（linear acceleration）時協助維持平衡的最主要構造？
MOEX-111020-1301-Q060,111,第一次,111020,1301,60,解剖學,生理學,在正常心臟週期的等容收縮（isovolumic contraction）期中，下列各腔室的壓力排列順序何者正確？
