canonical_id,source_id,group,roc_year,gregorian_year,exam_code,paper_code,question_no,source_name
MOEX-100030-1101-Q001,MOEX-100030-1101-Q001,醫學（一）,100,2011,100030,1101,1,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q002,MOEX-100030-1101-Q002,醫學（一）,100,2011,100030,1101,2,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q003,MOEX-100030-1101-Q003,醫學（一）,100,2011,100030,1101,3,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q004,MOEX-100030-1101-Q004,醫學（一）,100,2011,100030,1101,4,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q005,MOEX-100030-1101-Q005,醫學（一）,100,2011,100030,1101,5,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q006,MOEX-100030-1101-Q006,醫學（一）,100,2011,100030,1101,6,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q007,MOEX-100030-1101-Q007,醫學（一）,100,2011,100030,1101,7,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q008,MOEX-100030-1101-Q008,醫學（一）,100,2011,100030,1101,8,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q009,MOEX-100030-1101-Q009,醫學（一）,100,2011,100030,1101,9,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q010,MOEX-100030-1101-Q010,醫學（一）,100,2011,100030,1101,10,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q011,MOEX-100030-1101-Q011,醫學（一）,100,2011,100030,1101,11,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q012,MOEX-100030-1101-Q012,醫學（一）,100,2011,100030,1101,12,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q013,MOEX-100030-1101-Q013,醫學（一）,100,2011,100030,1101,13,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q014,MOEX-100030-1101-Q014,醫學（一）,100,2011,100030,1101,14,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q015,MOEX-100030-1101-Q015,醫學（一）,100,2011,100030,1101,15,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q016,MOEX-100030-1101-Q016,醫學（一）,100,2011,100030,1101,16,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q017,MOEX-100030-1101-Q017,醫學（一）,100,2011,100030,1101,17,moex_med1_missing_batch1_100030_1101_detailed.json
MOEX-100030-1101-Q018,MOEX-100030-1101-Q018,醫學（一）,100,2011,100030,1101,18,moex_med1_missing_batch1_100030_1101_detailed.json
