id,exam_year_roc,exam_session,exam_code,paper_code,question_no,subject_group_coarse,subject_group_keyword,anatomy_region,stem,option_A,option_B,option_C,option_D,option_E,answer,correct_answers,answer_credit_type,answer_note,needs_image_review,source_question_pdf,source_answer_pdf
MOEX-100140-1101-Q001,100,第二次,100140,1101,1,解剖學,下肢,下肢,當懷疑病人有下肢周邊血管阻塞疾病時，可觸摸檢查以下血管脈搏，何者例外？,膕動脈（popliteal artery）,脛後動脈（posterior tibial artery）,腓動脈（fibular artery）,足背動脈（pedis dorsalis artery）,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q002,100,第二次,100140,1101,2,解剖學,下肢,下肢,32 歲男性，左小腿前側被他人以刀子刺入，他感覺到左足背側第一趾與第二趾之間有麻麻的感覺， 這可能是那一條神經受到損傷？,腓深神經（deep fibular nerve）,腓淺神經（superficial fibular nerve）,脛神經（tibial nerve）,隱神經（saphenous nerve）,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q003,100,第二次,100140,1101,3,解剖學,下肢,下肢,承上題，此病人是在小腿前側遭到刀子刺入，可能是前區隔（anterior compartment）受到傷害，但不 包括下列何肌？,脛前肌（tibialis anterior）,伸長肌（extensor hallucis longus）,伸趾長肌（extensor digitorum longus）,脛後肌（tibialis posterior）,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q004,100,第二次,100140,1101,4,解剖學,下肢,下肢,承上題，此病人被送到醫院，傷口經沖洗、止血，神經、肌肉縫合之後，傷口縫起來，前區隔（anterior compartment）內的肌肉很重要，它主要的功能是什麼？,足蹠屈（plantarflex the foot）,膝屈（knee flexion）,足背屈（dorsiflex the foot）,屈（flex the great toe）,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q005,100,第二次,100140,1101,5,解剖學,下肢,下肢,下列何者受坐骨神經（sciatic nerve）支配？,內收長肌（adductor longus）,恥骨肌（pectineus）,股薄肌（gracilis）,內收大肌（adductor magnus）,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q006,100,第二次,100140,1101,6,解剖學,下肢,下肢,下列何者沒有發出分支構成膝關節動脈吻合網（genicular anastomosis）？,股動脈（femoral artery）,膕動脈（popliteal artery）,腓動脈（fibular artery）,脛前動脈（anterior tibial artery）,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q007,100,第二次,100140,1101,7,解剖學,上肢,上肢,盂肱關節（glenohumeral joint）中連接肱骨大、小結節同時固定肱二頭肌長頭之肌腱的韌帶為何？,上盂肱韌帶（superior glenohumeral ligament）,下盂肱韌帶（inferior glenohumeral ligament）,喙肱韌帶（coracohumeral ligament）,肱骨橫韌帶（transverse humeral ligament）,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q008,100,第二次,100140,1101,8,解剖學,胸腔,胸腔,肩胛棘（scapular spine）的內側相當於下列何者的高度？,第一胸椎,第三胸椎,第五胸椎,第七胸椎,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q009,100,第二次,100140,1101,9,未分類,,,如何辨識位於頸部的頸內動脈與頸外動脈？,頸內動脈有分支，頸外動脈無分支,頸內動脈與頸外動脈皆有分支，但分支數目不同,頸內動脈無分支，頸外動脈有分支,由兩者之口徑不同判別,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q010,100,第二次,100140,1101,10,解剖學,神經解剖,神經解剖,顏面神經若受傷不會產生下列何項症狀？,嘴角下垂,食物堆積在口腔前庭,微笑表情障礙,提上眼瞼肌無力,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q011,100,第二次,100140,1101,11,解剖學,頭頸部,頭頸部,下列何者不構成手臂四角形空間（quadrangular space）的邊緣？,小菱形肌（rhomboid minor）,肱骨（humerus）,大圓肌（teres major）,肱三頭肌的長頭（long head of triceps brachii）,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q012,100,第二次,100140,1101,12,解剖學,骨盆與會陰,骨盆與會陰,肛門外括約肌由下列何者直接支配？,腹下神經,陰部神經,肛門下神經,骨盆內臟神經,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q013,100,第二次,100140,1101,13,解剖學,神經解剖,神經解剖,下列何者不是黑質網狀部（pars reticulata of the substantia nigra）GABAergic 神經元之直接投射區域？,蒼白核（globus pallidus）,上丘（superior colliculus）,橋腦大腦腳核（pedunculopontine nucleus）,丘腦（thalamus）,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q014,100,第二次,100140,1101,14,解剖學,胸腔,胸腔,下列何者為骨盆橫膈的一部分？,梨狀肌,提肛肌,閉孔內肌,會陰淺橫肌,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q015,100,第二次,100140,1101,15,解剖學,骨盆與會陰,骨盆與會陰,下列何者為連接卵巢與子宮的構造？,懸韌帶,卵巢繫膜,卵巢韌帶,子宮圓韌帶,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
